2025-04-03 19:58:10,857 [__main__] [INFO] Initializing Ray...
2025-04-03 19:58:16,443 [__main__] [INFO] Creating temporary environment to get action/observation spaces...
2025-04-03 19:58:16,445 [src.satellite_marl_env] [INFO] SatelliteMARLEnv closed.
2025-04-03 19:58:16,445 [__main__] [INFO] Spaces retrieved.
2025-04-03 19:58:16,445 [__main__] [INFO] Configuring RLlib PPO Algorithm...
2025-04-03 19:58:16,446 [__main__] [INFO] Building Algorithm...
2025-04-03 19:58:30,156 [__main__] [INFO] Algorithm Built. Using Policy/Module Class: DefaultPPOTorchRLModule
2025-04-03 19:58:30,156 [__main__] [INFO] 
--- Starting Training for 100 iterations ---
2025-04-03 19:58:32,364 [__main__] [INFO] Iter: 1/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.21s
2025-04-03 19:58:34,580 [__main__] [INFO] Iter: 2/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.22s
2025-04-03 19:58:36,856 [__main__] [INFO] Iter: 3/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.28s
2025-04-03 19:58:38,910 [__main__] [INFO] Iter: 4/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.05s
2025-04-03 19:58:41,375 [__main__] [INFO] Iter: 5/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.46s
2025-04-03 19:58:43,738 [__main__] [INFO] Iter: 6/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.36s
2025-04-03 19:58:45,885 [__main__] [INFO] Iter: 7/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.15s
2025-04-03 19:58:48,562 [__main__] [INFO] Iter: 8/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.68s
2025-04-03 19:58:51,183 [__main__] [INFO] Iter: 9/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.62s
2025-04-03 19:58:54,957 [__main__] [INFO] Iter: 10/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 3.77s
2025-04-03 19:58:57,143 [__main__] [INFO] Iter: 11/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.19s
2025-04-03 19:58:59,442 [__main__] [INFO] Iter: 12/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.30s
2025-04-03 19:59:01,883 [__main__] [INFO] Iter: 13/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.44s
2025-04-03 19:59:04,307 [__main__] [INFO] Iter: 14/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.42s
2025-04-03 19:59:06,826 [__main__] [INFO] Iter: 15/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.52s
2025-04-03 19:59:08,977 [__main__] [INFO] Iter: 16/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.15s
2025-04-03 19:59:11,156 [__main__] [INFO] Iter: 17/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.18s
2025-04-03 19:59:13,908 [__main__] [INFO] Iter: 18/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.75s
2025-04-03 19:59:16,234 [__main__] [INFO] Iter: 19/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 2.32s
2025-04-03 19:59:19,880 [__main__] [INFO] Iter: 20/100, Ts: 0, Reward (Eval/Sample): nan, Policy Loss: nan, Time: 3.65s
